	logFC	logCPM	LR	PValue	FDR
YOR108W	-4.31691981880589	7.40027032431607	768.129395244175	4.58648981931966e-169	4.75313228275494e-167
YNL194C	4.4029051987979	5.32363083779117	765.580480889556	1.64319857505247e-168	1.67498503929119e-166
YIR031C	3.6638501162919	9.16176328302657	764.621891687727	2.65531718097981e-168	2.66302616634394e-166
YNL112W	-5.02243481144105	8.9472122824219	761.235052209672	1.44717388950955e-167	1.42833765793181e-165
YLL061W	3.78199240546165	7.56101123679223	751.309612977945	2.08278715717955e-165	2.02355789739726e-163
YGR256W	6.1292243049166	8.40590421983846	749.112240817138	6.25795642431104e-165	5.98645739174863e-163
YJL045W	4.11081796519047	5.78450628826777	748.316135904745	9.32255167012547e-165	8.78297367952124e-163
YGR234W	-4.5511246864024	8.6704820127732	746.859274692702	1.93334888773874e-164	1.79426319163574e-162
YJL163C	3.40320699798111	6.75117432068394	746.16337864422	2.73920178013569e-164	2.50475833365937e-162
YNL014W	3.97878993784708	7.79016147383986	735.040187561097	7.18202567791414e-162	6.47215009641596e-160
YLR080W	3.08710414595424	5.99502730503261	734.892967074631	7.7314126751452e-162	6.86770343057897e-160
YFL055W	5.08321162615832	7.80110115259221	733.574356414437	1.4961682747626e-161	1.3103062440104e-159
YJL177W	-3.35384939049758	9.13098723208372	725.753207505368	7.51004605354142e-160	6.48575921679452e-158
YIR038C	3.54967457974347	9.2929840555017	725.24336797082	9.69404495958782e-160	8.2572015833859e-158
YDL204W	4.14535816162923	8.00372929195868	717.581545055496	4.49312642746874e-158	3.77544055756765e-156
YBR092C	-4.14376962772537	7.88974192681808	710.605954944959	1.47704625107813e-156	1.22456981189384e-154
YDL149W	3.27705975780613	7.00637020005051	704.760910511435	2.7568799230791e-155	2.25556307390866e-153
YGL096W	3.74370313176507	6.97872179973267	700.622888097878	2.18903714177383e-154	1.76771856461684e-152
YDR453C	3.1556892109839	6.32996800083815	697.342401053693	1.13140493741218e-153	9.01932807798584e-152
YGR201C	4.2065556403523	7.91509978204824	691.634465039733	1.97178812411786e-152	1.55197196908416e-150
YIL101C	3.67841580395872	7.67009092001552	691.069564119417	2.6163982101106e-152	2.03359550880846e-150
YLR053C	5.8502395879776	6.31011840616558	683.783520354567	1.00494678347512e-150	7.71451740697319e-149
YJR137C	3.38163423549356	9.50943258900387	676.452274106425	3.94854290060267e-149	2.99415118974968e-147
YER131W	-3.62582588285092	8.97189844075811	675.778059556038	5.53422218997407e-149	4.14599922617575e-147
YAL067C	5.16257580355708	7.14810526174425	674.226216046338	1.20374053596863e-148	8.91054601506304e-147
YPR192W	4.1713064846472	6.72098784657973	672.821522895979	2.43225817906884e-148	1.77926839499413e-146
YKL163W	4.0726485167473	7.12426662121135	671.204081978944	5.46705703058069e-148	3.95280937397101e-146
YGL123W	-3.27459269885621	11.1497125436669	668.313711287151	2.3244700592729e-147	1.66132814121367e-145
YDR277C	2.85245761378825	6.44681483115101	667.882571893168	2.88459203666765e-147	2.03822650954539e-145
YJL212C	3.47884967682234	9.00863841981131	667.578479895809	3.35904433315033e-147	2.34680198466615e-145
YLR149C	4.18750054741028	7.25470267071385	664.003638831516	2.01207918253395e-146	1.39012315077735e-144
YCR087W	-3.14596913794693	6.051345974143	663.299896966372	2.86213588045504e-146	1.95568801150213e-144
