	x
859	YBL050W
860	YIL159W
861	YIL060W
862	YPR158W-A
863	YOR142W-A
864	YGR225W
865	YLL015W
866	YDR034C-D
867	YKL067W
868	YBL001C
869	YPL152W
870	YHR205W
871	YDR173C
872	YLR252W
873	YDR214W
874	YOR121C
875	YFR003C
876	YOR383C
877	YMR148W
878	YMR272C
879	YFR015C
880	YPL147W
881	YOR344C
882	YER057C
883	YMR275C
884	YJL079C
885	YAL037W
886	YNR002C
887	YGL009C
888	YMR189W
889	YDR018C
890	YOR136W
891	YLR311C
892	YPL219W
893	YDL248W
894	YPL274W
895	YKR071C
896	YIL169C
897	YJL068C
898	YML004C
899	YDL214C
900	YMR120C
901	YOR023C
902	YOL131W
903	YBR284W
904	YDR055W
905	YNL093W
906	YMR056C
907	YOR352W
908	YMR251W
909	YFL016C
910	YLR271W
911	YDR230W
912	YOL047C
913	YOR393W
914	YDR231C
915	YPL281C
916	YBL005W-B
917	YLL020C
918	YGR184C
919	YEL070W
920	YOR065W
921	YFR049W
922	YGL081W
923	YOR228C
924	YHL021C
925	YML118W
926	YOR220W
927	YFR016C
928	YPR007C
929	YDL181W
930	YGR209C
931	YER130C
932	YIL163C
933	YPR201W
934	YCL048W
935	YOL150C
936	YGL047W
937	YBR047W
938	YIR014W
939	YGR142W
940	YMR034C
941	YOR237W
942	YOR177C
943	YDL078C
944	YCR007C
945	YGR161W-C
946	YKL162C
947	YOR392W
948	YMR252C
949	YOL099C
950	YDR259C
951	YFL011W
952	YDR374C
953	YMR085W
954	YML045W
955	YOL110W
956	YOL109W
957	YOR055W
958	YKL084W
959	YHR001W-A
960	YBR255C-A
961	YMR323W
962	YDR379C-A
963	YJR095W
964	YGL183C
965	YDR009W
966	YBR148W
967	YDR014W-A
968	YJL089W
969	YER084W
970	YDR461C-A
971	YPR015C
972	YBR045C
973	YNL203C
974	YDR426C
975	YBL048W
976	YGL010W
977	YOL159C
978	YHR180W
979	YKL065W-A
980	YBL094C
981	YIL086C
982	YOR298C-A
983	YLR361C-A
984	YBR013C
985	YHR137W
986	YJL166W
987	YJR150C
988	YLR437C-A
989	YJL067W
990	YOL156W
991	YLR281C
992	YFL053W
993	YKL123W
994	YHR105W
995	YDR048C
996	YLR279W
997	YEL059W
998	YDR525W-A
999	YER179W
1000	YHR052W-A
1001	YHR054W-A
1002	YGL146C
1003	YHL044W
1004	YMR322C
1005	YGL262W
1006	YFL052W
1007	YMR174C
1008	YNL214W
1009	YFL062W
1010	YPL119C-A
1011	YPR010C-A
1012	YPR078C
1013	YNR073C
1014	YMR141C
1015	YJL043W
1016	YMR007W
1017	YIL057C
1018	YGR249W
1019	YIR036W-A
1020	YJL219W
1021	YDL026W
1022	YPR064W
1023	YHL046C
1024	YHL046W-A
1025	YER039C-A
1026	YLR012C
1027	YBR226C
1028	YOR339C
1029	YBR018C
1030	YDR271C
1031	YER067W
1032	YLR159W
1033	YLR161W
1034	YLR156W
1035	YEL069C
1036	YIL059C
1037	YJR020W
1038	YFL058W
1039	YKL221W
1040	YMR084W
1041	YJL199C
1042	YDL114W
1043	YGL033W
1044	YCL042W
1045	YDR114C
1046	YDR203W
1047	YFL019C
1048	YIL014C-A
1049	YNL266W
1050	YIL172C
1051	YJL221C
1052	YAR009C
1053	YOR225W
1054	YJR037W
1055	YNL318C
1056	YOR041C
1057	YER079C-A
1058	YFL051C
1059	YBR050C
1060	YPR145C-A
1061	YCR001W
1062	YER038W-A
1063	YBR201C-A
1064	YEL035C
1065	YHR136C
1066	YOL085C
1067	YMR158W-B
1068	YPL278C
1069	YML057C-A
1070	YJL133C-A
1071	YJL015C
1072	YPL027W
1073	YKR035W-A
1074	YER067C-A
1075	YEL059C-A
1076	YDR467C
1077	YGL177W
1078	YEL033W
1079	YJR156C
1080	YER135C
1081	YNL269W
1082	YLR307C-A
1083	YKL066W
1084	YBR266C
1085	YMR101C
1086	YPL282C
1087	YOR394W
1088	YJR038C
1089	YOR325W
1090	YMR135W-A
1091	YLR037C
1092	YHL045W
1093	YLR334C
1094	YLR123C
1095	YDR442W
1096	YMR086C-A
1097	YOR031W
1098	YIR040C
1099	YLR124W
1100	YFL015C
1101	YLR122C
1102	YHR193C-A
1103	YIL021C-A
1104	YFL020C
1105	YGR022C
1106	YGR059W
1107	YPL261C
1108	YCR025C
1109	YJL032W
1110	YML089C
1111	YLR445W
1112	YMR306C-A
